# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
qiang de dao 	抢得到	c=1 d=1 t=22471
qiang diao 	强调	c=7 d=1 t=257606
qiang duo 	强夺	c=1 d=1 t=1561
qiang duo 	抢夺	c=1 d=1 t=27795
qiang hua 	强化	c=1 d=1 t=160463
qiang ke hu 	抢客户	c=1 d=1 t=228069
qiang qiu 	强求	c=3 d=1 t=209900
qiang ren 	抢人	c=2 d=1 t=228049
qiang shang 	墙上	c=1 d=1 t=181539
qiang ti 	墙体	c=2 d=1 t=82503
qiang xing 	强行	c=1 d=1 t=217827
qiang ying 	强硬	c=1 d=1 t=216575
qiang zhi 	墙纸	c=3 d=2.97025 t=118458
qiang zhi 	强制	c=27 d=1 t=233944
qiang zou 	抢走	c=2 d=1 t=41282
qiao 	巧	c=1 d=1 t=242195
qiao 	敲	c=3 d=1 t=187818
qiao 	桥	c=9 d=1 t=106763
qiao bian 	桥边	c=1 d=1 t=29524
qiao cui 	憔悴	c=1 d=1 t=38431
qiao da 	敲打	c=4 d=1 t=182171
qiao dong 	桥洞	c=3 d=1.2739 t=101734
qiao er lang tui 	跷二郎腿	c=4 d=1.8311 t=264808
qiao he 	巧合	c=3 d=1 t=233937
qiao ke li 	巧克力	c=3 d=1 t=104309
qiao mai 	荞麦	c=1 d=1 t=87994
qiao mai mian 	荞麦面	c=3 d=2.95566 t=87892
qiao qiao 	悄悄	c=2 d=1 t=138725
qiao qiao 	瞧瞧	c=3 d=1 t=172322
qiao qiao hua 	悄悄话	c=1 d=1 t=33860
qiao shang 	瞧上	c=1 d=1 t=14471
qiao zhe 	敲着	c=1 d=1 t=162137
qie 	且	c=15 d=1 t=269379
qie 	切	c=71 d=2.77856 t=254770
qie bu 	且不	c=0 d=0.1 t=170628
qie bu guo qu 	且不过去	c=1 d=1 t=170629
qie cheng 	切成	c=1 d=1 t=89254
qie ge 	切割	c=3 d=1 t=125641
qie guo chang 	切过场	c=1 d=1 t=183075
qie he 	切合	c=1 d=1 t=9297
qie huan 	切换	c=62 d=1.0035 t=232725
qie ke nao 	切克闹	c=3 d=1 t=266565
qie pian 	切片	c=4 d=1 t=129174
qie qie 	切切	c=2 d=1 t=131914
qie ru 	切入	c=1 d=1 t=126857
qie ru dian 	切入点	c=1 d=1 t=126833
qie tu 	切图	c=1 d=1 t=133817
qie xia 	切下	c=1 d=1 t=154004
qie yi 	惬意	c=4 d=1 t=56787
qie zi 	茄子	c=1 d=1 t=56021
qin 	亲	c=11 d=1.99501 t=248786
qin ai 	亲爱	c=90 d=1 t=100904
qin ai de 	亲爱的	c=11 d=1.70469 t=97991
qin di di 	亲弟弟	c=1 d=1 t=199928
qin guo 	秦国	c=1 d=1 t=118266
qin kuai 	勤快	c=5 d=1 t=248020
qin lao 	勤劳	c=2 d=1 t=248891
qin mian 	勤勉	c=1 d=1 t=23184
qin qi 	亲戚	c=2 d=1 t=115314
qin qi jia 	亲戚家	c=2 d=1.9802 t=141088
qin qin 	亲亲	c=24 d=1 t=205283
qin quan 	侵权	c=2 d=1.98511 t=190224
qin shi 	侵蚀	c=2 d=1 t=26220
qin shi huang 	秦始皇	c=8 d=1 t=104022
qing 	情	c=1 d=0.1 t=11867
qing 	清	c=2 d=1 t=257334
qing 	请	c=50 d=1.00001 t=266623
qing 	轻	c=2 d=1 t=72703
qing cai 	青菜	c=3 d=1 t=249929
qing cheng shan 	青城山	c=3 d=1 t=263813
qing cheng xu 	请程序	c=1 d=1 t=246174
qing chi 	请吃	c=1 d=1 t=157022
qing chu 	清楚	c=41 d=1 t=263086
qing chu 	清除	c=4 d=1 t=263087
qing cui 	清脆	c=0 d=0.1 t=223907
qing dai 	清代	c=1 d=1 t=29328
qing dan 	清单	c=5 d=1 t=223513
qing dan 	清淡	c=9 d=1 t=231980
qing dan dian 	清淡点	c=2 d=1 t=223217
qing dao pi jiu 	青岛啤酒	c=1 d=1 t=3640
qing dian 	清点	c=1 d=1 t=96976
qing dian 	轻点	c=3 d=1 t=105679
qing gan 	情感	c=2 d=1.00694 t=65254
qing ge 	情歌	c=1 d=1 t=81155
qing ge jia 	请个假	c=4 d=1 t=242032
qing gen ju 	请根据	c=1 d=1 t=242286
qing guang yan 	青光眼	c=1 d=1 t=246098
qing hua 	情话	c=3 d=1.99005 t=88095
qing huan cun 	清缓存	c=5 d=1 t=235602
qing hun jia 	请婚假	c=1 d=1 t=122909
qing jia 	请假	c=52 d=1.03304 t=269218
qing jia la 	请假啦	c=1 d=1 t=74225
qing jia yi tian 	请假一天	c=1 d=1 t=9053
qing jiao 	请教	c=1 d=1 t=126527
qing jiao 	青椒	c=1 d=1 t=47586
qing jie 	情节	c=1 d=1 t=5130
qing jing 	情景	c=3 d=1 t=197958
qing jing 	清静	c=1 d=1 t=30975
qing ke 	请客	c=7 d=1 t=249570
qing ke chi fa 	请客吃法	c=1 d=1 t=48248
qing kong 	清空	c=6 d=1 t=167134
qing kou 	清口	c=0 d=0.1 t=111939
qing kou shui 	清口水	c=1 d=1 t=111940
qing kua guo 	情跨国	c=1 d=1 t=11868
qing kuang 	情况	c=203 d=2.32246 t=269396
qing kuang xia 	情况下	c=15 d=1 t=231957
qing li 	清理	c=82 d=1 t=266385
qing li diao 	清理掉	c=4 d=1 t=238647
qing li xia 	清理下	c=9 d=1 t=256152
qing ling 	清零	c=1 d=1 t=72925
qing liu xia 	请留下	c=1 d=1 t=53330
qing long 	青龙	c=4 d=1 t=261458
qing lv 	情侣	c=4 d=1.12185 t=61769
qing ming 	清明	c=6 d=1 t=81515
qing ming jie 	清明节	c=5 d=1.00179 t=74656
qing ming shi jie 	清明时节	c=1 d=1 t=79747
qing ni 	请你	c=2 d=1 t=206830
qing qing 	轻轻	c=5 d=1 t=248784
qing qing chu chu 	清清楚楚	c=1 d=1 t=2972
qing qiu 	请求	c=4 d=1 t=199723
qing shang 	情商	c=1 d=1 t=246182
qing shui 	清水	c=5 d=1 t=265809
qing shui fang 	清水房	c=1 d=1 t=139927
qing shuo chu 	请说出	c=1 d=1 t=5725
qing song 	轻松	c=9 d=1 t=259938
qing suan 	清算	c=2 d=1.99005 t=262377
qing tang 	清汤	c=1 d=1 t=269551
qing tian 	晴天	c=1 d=1 t=43619
qing wa 	青蛙	c=1 d=1 t=41069
qing wei 	轻微	c=1 d=1 t=263214
qing wen 	请问	c=2 d=1 t=266827
qing wo 	请我	c=3 d=1 t=190452
qing xi 	清晰	c=8 d=1 t=254350
qing xi 	清洗	c=4 d=3.85378 t=126766
qing xia 	青霞	c=0 d=0.1 t=83148
qing xiang yu 	倾向于	c=1 d=1 t=914
qing xie 	倾斜	c=4 d=1 t=265996
qing xing 	清醒	c=1 d=1 t=26072
qing xu 	情绪	c=14 d=1 t=246175
qing yi tian jia 	请一天假	c=1 d=1 t=24889
qing yin yue 	轻音乐	c=3 d=1 t=215346
qing yu nian 	庆余年	c=1 d=1 t=112701
qing zhong 	轻重	c=1 d=1 t=268791
qing zhu 	庆祝	c=4 d=1 t=215735
qing zhu xia 	庆祝下	c=1 d=1 t=15048
qiong 	穷	c=7 d=1 t=242502
qiong kun liao dao 	穷困潦倒	c=1 d=1 t=53144
qiong si 	穷死	c=0 d=0.1 t=22769
qiong si ge ren 	穷死个人	c=1 d=1 t=22770
qiu 	求	c=10 d=1 t=264164
qiu 	球	c=5 d=1 t=250420
qiu bi te 	丘比特	c=2 d=1 t=222518
qiu cai 	求财	c=3 d=1.84366 t=183371
qiu ge 	秋哥	c=4 d=1.72979 t=201341
qiu ji 	秋季	c=2 d=1 t=26968
qiu qian 	求钱	c=2 d=1 t=229158
qiu qian 	秋千	c=1 d=1 t=133866
qiu ri 	秋日	c=0 d=0.1 t=27089
qiu ri song 	秋日送	c=1 d=1 t=27090
qiu tian 	秋天	c=5 d=1 t=251995
qu 	区	c=4 d=1 t=237735
qu 	去	c=1555 d=2.06222 t=269146
qu 	取	c=37 d=1.92774 t=242288
qu a 	去啊	c=1 d=1 t=99845
qu ba 	去吧	c=5 d=1 t=219104
qu bie 	区别	c=33 d=1.00054 t=268179
qu bu fu qu 	去不拂去	c=1 d=1 t=111283
qu bu liao 	去不了	c=1 d=1 t=36125
qu bu qu 	去不去	c=7 d=1 t=150048
qu bu qu bu 	去不去不	c=0 d=0.1 t=109897
qu bu qu bu qu 	去不去不去	c=1 d=1 t=109898
qu chi 	去吃	c=1 d=1 t=71122
qu chu 	取出	c=2 d=1 t=195454
qu chu 	祛除	c=1 d=1 t=96897
qu chu lai 	取出来	c=2 d=1 t=190296
qu dao 	取到	c=1 d=1 t=83304
qu dao 	渠道	c=8 d=3.3896 t=230217
qu diao 	去掉	c=31 d=1 t=263672
qu dong 	驱动	c=3 d=1.99501 t=265407
qu fen 	区分	c=38 d=1 t=261144
qu fen xia 	区分下	c=1 d=1 t=186065
qu guo 	去过	c=14 d=1.00002 t=198784
qu jian 	区间	c=12 d=1 t=252430
qu jian 	取件	c=2 d=1.85642 t=59751
qu jing 	取经	c=1 d=1 t=163976
qu jue yu 	取决于	c=2 d=1 t=231871
qu kan kan 	去看看	c=1 d=1 t=63105
qu ma 	去吗	c=3 d=1 t=96390
qu ma 	去嘛	c=3 d=1 t=200084
qu mian ping 	曲面屏	c=1 d=1 t=249912
qu ni a 	去你啊	c=1 d=1 t=30193
qu nian 	去年	c=35 d=1 t=249636
qu qiu 	去秋	c=1 d=1 t=61945
qu qu 	去去	c=1 d=1 t=76289
qu qu qu 	去去去	c=2 d=1 t=250394
qu san 	驱散	c=2 d=1.99005 t=27987
qu she 	取舍	c=1 d=1 t=82453
qu shi 	去世	c=6 d=1 t=231285
qu shi 	趋势	c=3 d=1 t=22235
qu ta 	娶她	c=1 d=1 t=158014
qu ti 	躯体	c=1 d=1 t=2050
qu xia lai 	取下来	c=2 d=1 t=184191
qu xian 	曲线	c=6 d=2.69587 t=211650
qu xiao 	取消	c=16 d=1.86502 t=240413
qu yi ge 	娶一个	c=1 d=1 t=242272
qu you 	去油	c=1 d=1 t=112416
qu yu 	区域	c=9 d=1 t=242872
qu zheng 	取整	c=5 d=1 t=171646
qu zhi 	取值	c=7 d=4.62695 t=265102
quan 	全	c=59 d=1 t=268858
quan 	券	c=10 d=1 t=262349
quan 	劝	c=3 d=1 t=229566
quan 	圈	c=1 d=1 t=81497
quan 	权	c=2 d=1 t=249586
quan 	犬	c=1 d=1 t=93229
quan bao 	全包	c=1 d=1 t=144847
quan bu 	全部	c=120 d=1.00038 t=269410
quan bu cuo 	全部错	c=1 d=1 t=219310
quan bu quan 	全不全	c=1 d=1 t=163463
quan bu shi 	全部是	c=1 d=1 t=116293
quan bu shu ju 	全部数据	c=1 d=1 t=116187
quan bu yao 	全部要	c=1 d=1 t=115915
quan cheng 	全程	c=1 d=1 t=171944
quan cuo 	全错	c=2 d=1 t=116215
quan dou 	全都	c=1 d=1 t=173656
quan er 	圈儿	c=1 d=1 t=236627
quan gong si 	全公司	c=1 d=1 t=145200
quan guo 	全国	c=1 d=1 t=33023
quan heng 	权衡	c=1 d=1 t=18057
quan jia fu 	全家福	c=2 d=1.98511 t=126
quan jiu 	劝酒	c=1 d=1 t=3673
quan ju 	全局	c=13 d=1 t=260592
quan ju bian liang 	全局变量	c=2 d=1 t=258761
quan jun 	全军	c=1 d=1 t=248650
quan kan dao 	全看到	c=1 d=1 t=139498
quan kao 	全靠	c=1 d=1 t=173576
quan kao zi jue 	全靠自觉	c=1 d=1 t=977
quan kuan 	全款	c=1 d=1 t=140076
quan li 	权利	c=2 d=1.90032 t=229243
quan ma 	全麻	c=1 d=1 t=92311
quan mai 	全麦	c=3 d=1.9802 t=89727
quan mei 	全美	c=2 d=1 t=263124
quan mian 	全面	c=3 d=1.95123 t=134915
quan mian ping 	全面屏	c=1 d=1 t=201383
quan neng 	全能	c=2 d=1 t=153490
quan nian 	全年	c=2 d=1.98511 t=224851
quan ping 	全屏	c=7 d=1.98511 t=225547
quan qin 	全勤	c=1 d=1 t=127154
quan qiu 	全球	c=2 d=1 t=193903
quan shen 	全身	c=2 d=1 t=201491
quan shi 	全是	c=31 d=1 t=261351
quan shi jie 	全世界	c=2 d=1.84789 t=250303
quan shi ren 	全是人	c=1 d=1 t=7329
quan tui 	劝退	c=3 d=1 t=179967
quan xian 	权限	c=12 d=1 t=172154
quan xin 	全新	c=3 d=1 t=229289
quan yuan 	全员	c=1 d=1 t=263343
quan zhang 	权杖	c=5 d=1 t=229299
quan zhong 	权重	c=14 d=1.97531 t=268976
quan zi 	圈子	c=2 d=1 t=117747
que 	却	c=7 d=1.00001 t=251575
que 	缺	c=18 d=1.74826 t=256184
que bao 	确保	c=1 d=1 t=193137
que bie 	却别	c=1 d=1 t=3898
que dian 	缺点	c=3 d=1 t=261917
que ding 	确定	c=69 d=1 t=268224
que ding de 	确定的	c=1 d=1 t=204957
que fa 	缺乏	c=1 d=1 t=198068
que ge 	缺个	c=1 d=1 t=13939
que ge ren 	缺个人	c=1 d=1 t=123827
que hen 	却很	c=1 d=1 t=11498
que jin shao liang 	缺斤少两	c=1 d=1 t=64985
que li 	确立	c=2 d=1.9802 t=50780
que qian 	缺钱	c=7 d=1 t=106585
que qie 	确切	c=1 d=1 t=2957
que ren 	确认	c=61 d=1.01584 t=267347
que ren guo 	确认过	c=1 d=1 t=204825
que ren hao 	确认号	c=1 d=1 t=26100
que ren xia 	确认下	c=3 d=1 t=144604
que shao 	缺少	c=2 d=1 t=245724
que sheng 	缺省	c=2 d=1 t=95215
que shi 	却是	c=4 d=1 t=28228
que shi 	确实	c=235 d=1.44486 t=268038
que shi 	缺失	c=4 d=1 t=262958
que shi shi 	确实是	c=14 d=1 t=260389
que yang 	缺氧	c=3 d=1.9802 t=194227
que yao 	却要	c=1 d=1 t=246683
que you 	却又	c=1 d=1 t=2505
qun 	群	c=49 d=1.00026 t=253025
qun bai 	裙摆	c=0 d=0.1 t=189171
qun bai ni 	裙摆你	c=1 d=1 t=189172
qun ju 	群居	c=1 d=1 t=234530
qun li 	群里	c=98 d=1.57984 t=269649
qun li o 	群里哦	c=1 d=1 t=189173
qun li tou 	群里头	c=1 d=1 t=215324
qun ou 	群殴	c=2 d=0.1 t=223165
qun ou pai 	群殴排	c=1 d=1 t=223166
qun zhong 	群众	c=2 d=1 t=190982
qun zi 	裙子	c=4 d=1 t=124660
qun zi kuan shi 	裙子款式	c=1 d=1 t=25809
qun zu 	群组	c=1 d=1 t=230163
ran 	染	c=4 d=1.99005 t=191367
ran 	然	c=1 d=1 t=2576
ran bing luan 	然并卵	c=1 d=1 t=229386
ran er 	然而	c=3 d=1.98511 t=241791
ran fa 	染发	c=5 d=1.92774 t=191375
ran hou 	然后	c=837 d=1.01434 t=269731
ran hou gou 	然后够	c=1 d=1 t=214700
ran hou hao 	然后好	c=1 d=1 t=258193
ran hou jiu 	然后就	c=0 d=0.1 t=50088
ran hou jiu ou 	然后就区	c=1 d=1 t=50089
ran hou tiao 	然后调	c=1 d=1 t=43229
ran hou zai 	然后再	c=1 d=1 t=91096
ran qi 	燃气	c=5 d=1.84366 t=234716
ran se 	染色	c=2 d=1 t=72682
ran shao 	燃烧	c=3 d=1.00013 t=29796
ran tou fa 	染头发	c=3 d=1.93707 t=228404
rang 	让	c=377 d=1.39632 t=268932
rang rang 	嚷嚷	c=1 d=1 t=28818
rang rang zhe 	嚷嚷着	c=1 d=1 t=2228
rang ren 	让人	c=1 d=1 t=81035
rang ta 	让他	c=1 d=1 t=66385
rang wo 	让我	c=1 d=1 t=28153
rang wo men 	让我们	c=2 d=1 t=169100
rang zou 	让走	c=1 d=1 t=170326
rao 	扰	c=2 d=1 t=148995
rao 	绕	c=6 d=1 t=253788
rao guo 	绕过	c=1 d=1 t=27520
rao hou 	扰后	c=1 d=1 t=37465
rao hui 	绕回	c=1 d=1 t=37454
rao hui qu 	绕回去	c=1 d=1 t=27542
rao kou ling 	绕口令	c=1 d=1 t=265741
re 	热	c=85 d=1 t=264062
re ai 	热爱	c=1 d=1 t=233393
re ai ma fan 	热爱麻烦	c=1 d=1 t=131281
re bu re 	热不热	c=12 d=1.00004 t=228936
re cha 	热茶	c=2 d=1 t=203406
re dian 	热点	c=4 d=1.23931 t=50304
re du 	热度	c=3 d=1.79453 t=164447
re feng 	热风	c=2 d=1.02294 t=200771
re fu 	热敷	c=13 d=2.63338 t=252524
re fu xia 	热敷下	c=1 d=1 t=62396
re geng xin 	热更新	c=2 d=1 t=190465
re huo 	热火	c=2 d=1 t=144528
re ji 	惹急	c=1 d=1 t=23887
re lang 	热浪	c=1 d=0.1 t=122559
re lang zha dan 	热浪炸弹	c=1 d=1 t=122560
re liang 	热量	c=3 d=1 t=134552
re liang gao 	热量高	c=1 d=1 t=224869
re mao jin 	热毛巾	c=1 d=1 t=62395
re nao 	热闹	c=2 d=1.91851 t=3026
re qi lai 	热起来	c=2 d=1 t=110794
re qing 	热情	c=2 d=1.09005 t=28295
re re 	热热	c=2 d=1 t=200109
re shang feng 	热伤风	c=3 d=1.0354 t=201530
re shui 	热水	c=10 d=1 t=252480
re shui dai 	热水袋	c=2 d=1.97045 t=115819
re shui ping 	热水瓶	c=1 d=1 t=15626
re si 	热死	c=6 d=1.6883 t=201488
re si ren 	热死人	c=11 d=1 t=209353
re tang 	热汤	c=1 d=1 t=161298
re you 	热油	c=0 d=0.1 t=232931
re zhong 	热衷	c=1 d=1 t=2651
re zhong yu 	热衷于	c=1 d=1 t=1745
ren 	人	c=381 d=3.0528 t=269076
ren 	仁	c=2 d=1 t=97096
ren 	刃	c=1 d=1 t=130573
ren 	认	c=1 d=1 t=48428
ren biao pi 	人表皮	c=1 d=1 t=96894
ren bu duo 	人不多	c=1 d=1 t=158097
ren bu jian 	人不见	c=1 d=1 t=54353
ren bu zhu 	忍不住	c=1 d=1 t=13608
ren cai 	人才	c=2 d=1 t=132041
ren chu lai 	认出来	c=1 d=1 t=29436
ren dou 	人都	c=1 d=1 t=41158
ren dou shi 	人都是	c=1 d=1 t=3470
ren duo 	人多	c=3 d=1 t=174591
ren er 	人儿	c=1 d=1 t=34810
ren gong 	人工	c=1 d=1 t=20525
ren hao 	人好	c=1 d=1 t=25294
ren he 	任何	c=31 d=1 t=227170
ren he ren 	任何人	c=1 d=1 t=3752
ren he zui 	人喝醉	c=1 d=1 t=26163
ren huo zhe 	人活着	c=1 d=1 t=119432
ren ji 	人际	c=2 d=1 t=172570
ren jia 	人家	c=42 d=1 t=256022
ren jian 	人间	c=1 d=1 t=74403
ren jian lian yu 	人间炼狱	c=1 d=1 t=21986
ren jie you zhi 	人皆有之	c=1 d=1 t=21924
ren ke 	认可	c=12 d=1.96079 t=219546
ren li 	人力	c=2 d=1 t=249609
ren ma 	人嘛	c=5 d=1 t=144772
ren mei 	人美	c=1 d=1 t=25295
ren min 	人民	c=2 d=1.96561 t=22120
ren min yi yuan 	人民医院	c=1 d=1 t=63316
ren ne 	人呢	c=8 d=1 t=239349
ren qi 	人气	c=2 d=1.00018 t=91574
ren qing shi gu 	人情世故	c=3 d=1 t=253210
ren ren ren 	忍忍忍	c=1 d=1 t=130881
ren shang ren 	人上人	c=2 d=1 t=228390
ren shao 	人少	c=2 d=1 t=226040
ren shen gong ji 	人身攻击	c=2 d=1 t=211339
ren sheng 	人生	c=7 d=1 t=86446
ren sheng dian feng 	人生巅峰	c=1 d=1 t=101722
ren sheng gui hua 	人生规划	c=1 d=1 t=694
ren sheng zai shi 	人生在世	c=2 d=1 t=196662
ren shi 	人事	c=8 d=1.86936 t=257839
ren shi 	认识	c=13 d=1 t=212630
ren shi bu shi 	人是不是	c=1 d=1 t=224976
ren shu 	人数	c=3 d=1.01851 t=242998
ren ti 	人体	c=1 d=1 t=62398
ren wei 	认为	c=5 d=1 t=255182
ren wen 	人文	c=1 d=1 t=76115
ren wu 	人物	c=6 d=1.85214 t=269113
ren wu 	任务	c=100 d=1.0135 t=267386
ren wu lan 	任务栏	c=1 d=1 t=159188
ren xing 	任性	c=1 d=1 t=211
ren xing hua 	人性化	c=1 d=1 t=253865
ren yi 	任意	c=4 d=1.06425 t=243413
ren yuan 	人员	c=14 d=1.97531 t=251341
ren yuan cheng ben 	人员成本	c=1 d=1 t=90582
ren zhe me 	人这么	c=1 d=1 t=95813
ren zhen 	认真	c=3 d=1.79453 t=174392
ren zhen de 	认真的	c=2 d=1.00205 t=21630
ren zheng 	认证	c=5 d=1 t=174345
ren zhi 	认知	c=3 d=1 t=258215
ren zou cha liang 	人走茶凉	c=2 d=1 t=249618
reng dao 	扔到	c=4 d=1.91393 t=137959
reng diao 	扔掉	c=6 d=1 t=229124
reng gei 	扔给	c=1 d=1 t=131566
reng jiu 	仍旧	c=1 d=1 t=28057
reng kai 	扔开	c=1 d=1 t=22243
ri 	日	c=8 d=0.1 t=264728
ri ban 	日版	c=2 d=1.80654 t=98478
ri ben 	日本	c=20 d=1 t=261745
ri chang 	日常	c=6 d=1 t=193102
ri chu 	日出	c=1 d=1 t=198733
ri fu 	日服	c=1 d=1 t=64441
ri guo 	日过	c=1 d=1 t=148443
ri ji 	日记	c=2 d=1.90484 t=76329
ri ji ben 	日记本	c=4 d=3.91173 t=76326
ri jie 	日结	c=2 d=1.74453 t=6243
ri kou 	日寇	c=1 d=1 t=25591
ri li 	日历	c=2 d=1 t=232642
ri luo 	日落	c=4 d=2.76882 t=29804
ri qi 	日期	c=6 d=1 t=268114
ri quan shi 	日全食	c=2 d=1.60351 t=83682
ri yu 	日语	c=1 d=1 t=148821
ri yuan 	日元	c=1 d=1 t=261892
ri zhao jin shan 	日照金山	c=1 d=1 t=22421
ri zhi 	日志	c=50 d=0.1 t=259231
ri zhi you 	日志又	c=1 d=1 t=259232
ri zi 	日子	c=4 d=1 t=261687
rong 	融	c=3 d=1 t=251901
rong bu xia 	容不下	c=2 d=1 t=162637
rong deng 	荣登	c=3 d=1.00008 t=4295
rong deng di yi 	荣登第一	c=1 d=1 t=25665
rong he 	融合	c=3 d=2.79489 t=79917
rong hua 	融化	c=1 d=1 t=2040
rong jie 	溶解	c=1 d=1 t=157111
rong qi 	容器	c=5 d=1 t=95357
rong qia 	融洽	c=2 d=1 t=176990
rong ru 	融入	c=3 d=1 t=250074
rong yi 	容易	c=39 d=1 t=260733
rong yi diao 	容易掉	c=1 d=1 t=196579
rong yi me 	容易么	c=1 d=1 t=220158
rong yi wang ji 	容易忘记	c=1 d=1 t=24233
rong yu 	冗余	c=3 d=1.77492 t=202193
rou 	揉	c=1 d=1 t=227512
rou 	柔	c=1 d=1 t=35298
rou 	肉	c=13 d=1 t=265423
rou chang 	柔肠	c=1 d=1 t=152207
rou rou 	揉揉	c=2 d=1 t=239583
rou rou 	肉肉	c=17 d=1 t=260773
rou rou jian 	揉揉肩	c=3 d=1 t=142503
rou rou jiao 	揉揉脚	c=1 d=1 t=215920
rou shi 	肉食	c=1 d=1 t=179759
rou si 	肉丝	c=1 d=1 t=53671
rou ti 	柔体	c=1 d=1 t=12589
rou ti 	肉体	c=1 d=1 t=26222
rou yuan zi 	肉圆子	c=2 d=1 t=265840
ru 	入	c=8 d=1 t=242307
ru 	如	c=2 d=1 t=196629
ru bu 	如不	c=1 d=1 t=89107
ru ci 	如此	c=9 d=1 t=262247
ru dong 	蠕动	c=1 d=1 t=61272
ru ge 	如歌	c=4 d=1 t=232365
ru gu 	入股	c=1 d=1 t=79167
ru gui 	入轨	c=0 d=0.1 t=205474
ru gui o 	入轨哦	c=2 d=1 t=209944
ru guo 	如果	c=639 d=2.71689 t=269721
ru guo huo 	如果火	c=1 d=1 t=45351
ru guo pa 	如果怕	c=1 d=1 t=214237
ru guo shi 	如果是	c=1 d=1 t=17145
ru guo yo 	如果哟	c=1 d=1 t=68114
ru he 	如何	c=85 d=1.73345 t=266881
ru kou 	入口	c=72 d=1 t=269103
ru lao nian ren 	如老年人	c=1 d=1 t=122283
ru men 	入门	c=1 d=1 t=27061
ru mi 	入迷	c=1 d=1 t=112078
ru shi 	如实	c=2 d=1 t=227836
ru shi 	如是	c=1 d=1 t=28119
ru shou 	入手	c=1 d=1 t=98441
ru suan dui ji 	乳酸堆积	c=1 d=1 t=112892
ru tong 	如同	c=4 d=1 t=250832
ru tu 	如图	c=0 d=0.1 t=103420
ru tu guo 	如图过	c=1 d=1 t=103421
ru xia 	如下	c=20 d=1 t=266027
ru xia tu 	如下图	c=1 d=1 t=120985
ru xiu mu yi yang 	入朽木一样	c=1 d=1 t=77194
ru xue 	入学	c=2 d=1.97531 t=30952
ru zhi 	入职	c=3 d=1 t=115240
ruan 	软	c=3 d=1 t=181151
ruan fan 	软饭	c=1 d=1 t=18615
ruan gao 	软膏	c=2 d=1.94176 t=104272
ruan jian 	软件	c=25 d=1.97531 t=265418
ruan jian yuan 	软件园	c=1 d=1 t=112651
ruan zhuang 	软装	c=2 d=1 t=144835
rui shi 	瑞士	c=1 d=1 t=250258
rui xin 	瑞新	c=3 d=1 t=254311
rui xing 	瑞幸	c=1 d=1 t=254312
run 	润	c=3 d=2.65806 t=987
ruo 	弱	c=9 d=1 t=92457
ruo 	若	c=7 d=1.96561 t=92465
ruo you suo si 	若有所思	c=1 d=1 t=3181
sa 	撒	c=253 d=1.00001 t=267157
sa 	萨	c=1 d=1 t=118852
sa jiu feng 	撒酒疯	c=0 d=0.1 t=232251
sa jiu feng jiao ao 	撒酒疯骄傲	c=1 d=1 t=232252
sa kuai di ya 	撒快递呀	c=1 d=1 t=65268
sa ye 	撒野	c=1 d=1 t=30196
sa zai 	洒在	c=4 d=2.31153 t=29810
sai 	塞	c=3 d=1 t=15099
sai dao 	赛道	c=1 d=1 t=69707
sai gei 	塞给	c=1 d=1 t=49477
sai ji 	赛季	c=4 d=1.32465 t=245507
san 	三	c=46 d=1.90484 t=267437
san 	伞	c=32 d=1.00352 t=249899
san 	散	c=10 d=1 t=238955
san ba huo 	三把火	c=1 d=1 t=122458
san bo 	散播	c=1 d=1 t=267393
san bu fen 	三部分	c=1 d=1 t=123135
san chang 	散场	c=5 d=1 t=138786
san ci 	三次	c=45 d=1.28151 t=232526
san da 	三大	c=1 d=1 t=123018
san dao 	三道	c=1 d=1 t=111350
san dian duo 	三点多	c=1 d=1 t=39322
san fa 	散发	c=3 d=1 t=100410
san fa zhe 	散发着	c=1 d=1 t=1385
san fang 	三方	c=1 d=1 t=169499
san fen 	三分	c=3 d=1 t=132790
san fen zhi yi 	三分之一	c=1 d=1 t=50827
san ge 	三个	c=27 d=1.95123 t=265096
san ge ren 	三个人	c=1 d=1 t=253
san gen 	三根	c=1 d=1 t=2922
san gu mao cai 	三顾冒菜	c=1 d=1 t=61476
san guan 	三观	c=1 d=1 t=23352
san guo qu 	散过去	c=2 d=1 t=250463
san hao men 	三号门	c=1 d=1 t=231318
san ji 	三级	c=1 d=1 t=4910
san ji pian 	三级片	c=1 d=1 t=154458
san jie duan 	三阶段	c=2 d=1.90937 t=180097
san lun 	三轮	c=3 d=1.02004 t=74316
san lun che 	三轮车	c=3 d=1 t=260986
san man 	散漫	c=1 d=1 t=199653
san ming 	三名	c=0 d=0.1 t=243839
san ming ai 	三名哎	c=1 d=1 t=243840
san ming zhi 	三明治	c=7 d=1 t=100724
san mu yun suan 	三目运算	c=1 d=1 t=108623
san nian ji 	三年级	c=3 d=2.86562 t=219948
san nong 	三农	c=1 d=1 t=119430
san re 	散热	c=1 d=1 t=200059
san se 	三色	c=3 d=1 t=221984
san se huo shan 	三色火山	c=2 d=1.99501 t=72459
san shi duo 	三十多	c=1 d=1 t=247388
san shi er 	三十二	c=1 d=1 t=3544
